SortType,RunIndex,PairIndex,VectorTime,DllTime
Merge Sort,0,0,1.9e-05,8.209e-06
Merge Sort,0,1,1.6916e-05,7.417e-06
Merge Sort,0,2,1.7125e-05,7.042e-06
Merge Sort,0,3,1.7833e-05,6.834e-06
Merge Sort,0,4,0.000202375,0.0001125
Merge Sort,0,5,0.000202167,0.000108334
Merge Sort,0,6,0.000198292,0.000106709
Merge Sort,0,7,0.0001885,9.7417e-05
Merge Sort,0,8,0.00234421,0.00173429
Merge Sort,0,9,0.00216042,0.00147358
Merge Sort,0,10,0.00211717,0.00151687
Merge Sort,0,11,0.00213842,0.00153067
Merge Sort,1,0,1.9e-05,8.375e-06
Merge Sort,1,1,1.6708e-05,6.833e-06
Merge Sort,1,2,1.6958e-05,6.708e-06
Merge Sort,1,3,1.675e-05,6.625e-06
Merge Sort,1,4,0.000208666,9.8083e-05
Merge Sort,1,5,0.000177542,9.6166e-05
Merge Sort,1,6,0.000177459,9.5916e-05
Merge Sort,1,7,0.000177375,9.4333e-05
Merge Sort,1,8,0.00210617,0.00150929
Merge Sort,1,9,0.00211658,0.00149325
Merge Sort,1,10,0.00210046,0.00148375
Merge Sort,1,11,0.00212125,0.00148013
Quick Sort,0,0,5.667e-06,4.042e-06
Quick Sort,0,1,5.916e-06,3.75e-06
Quick Sort,0,2,5.959e-06,4.25e-06
Quick Sort,0,3,5.542e-06,3.708e-06
Quick Sort,0,4,8.075e-05,5.2375e-05
Quick Sort,0,5,7.7042e-05,4.9417e-05
Quick Sort,0,6,7.6208e-05,5.3875e-05
Quick Sort,0,7,8.025e-05,5.0291e-05
Quick Sort,0,8,0.0010535,0.000686583
Quick Sort,0,9,0.00101275,0.000667625
Quick Sort,0,10,0.00104054,0.000680459
Quick Sort,0,11,0.00100471,0.000652666
Quick Sort,1,0,5.834e-06,4.208e-06
Quick Sort,1,1,6.084e-06,3.875e-06
Quick Sort,1,2,5.75e-06,4.084e-06
Quick Sort,1,3,5.542e-06,3.625e-06
Quick Sort,1,4,8.075e-05,5.1958e-05
Quick Sort,1,5,7.9e-05,4.9875e-05
Quick Sort,1,6,7.6458e-05,4.975e-05
Quick Sort,1,7,8.0291e-05,5.0291e-05
Quick Sort,1,8,0.00101862,0.000670792
Quick Sort,1,9,0.001012,0.000663541
Quick Sort,1,10,0.000998084,0.000680459
Quick Sort,1,11,0.00100337,0.000652625
Insertion Sort,0,0,7.625e-06,7.541e-06
Insertion Sort,0,1,7.625e-06,7.75e-06
Insertion Sort,0,2,8.416e-06,8.709e-06
Insertion Sort,0,3,8.042e-06,8.166e-06
Insertion Sort,0,4,0.000685958,0.000801667
Insertion Sort,0,5,0.000709458,0.000803834
Insertion Sort,0,6,0.000659875,0.000761125
Insertion Sort,0,7,0.000672375,0.000771125
Insertion Sort,0,8,0.0729888,0.0781433
Insertion Sort,0,9,0.0744907,0.0766878
Insertion Sort,0,10,0.0734139,0.0775598
Insertion Sort,0,11,0.0716436,0.0754224
Insertion Sort,1,0,7.625e-06,7.459e-06
Insertion Sort,1,1,7.625e-06,7.625e-06
Insertion Sort,1,2,8.541e-06,6.125e-06
Insertion Sort,1,3,8.041e-06,8.209e-06
Insertion Sort,1,4,0.000677042,0.000787833
Insertion Sort,1,5,0.000690125,0.000808875
Insertion Sort,1,6,0.000659375,0.00075525
Insertion Sort,1,7,0.00066225,0.000794583
Insertion Sort,1,8,0.0726165,0.0794828
Insertion Sort,1,9,0.0733665,0.0773599
Insertion Sort,1,10,0.0732113,0.0769087
Insertion Sort,1,11,0.0718367,0.0756166
